Sec,RollNo,Dept,Aptitude_Score,Mock_Interview_Score,Problems_Solved,Hackathon_Count,Technical_Test_Score,Resume_Score,Projects_Count,Placement_Probabilities,Placement_Readiness
B,21EC0085,IT,79,44,196,9,74,74,4,62.44,Not Ready
D,21EC0086,ECE,57,96,269,5,41,75,5,63.14,Not Ready
B,21IT0087,ME,89,56,326,5,92,41,7,69.32,Not Ready
B,21CS0088,IT,92,52,208,0,41,46,7,52.24,Not Ready
D,21ME0089,EEE,61,44,342,0,88,41,2,53.23,Not Ready
C,21IT0090,CSE,66,97,360,2,55,65,3,65.62,Not Ready
D,21ME0091,CSE,86,71,443,7,49,94,2,74.12,Ready
D,21ME0092,IT,98,72,344,7,48,95,3,73.33,Ready
C,21IT0093,ECE,51,55,236,5,78,41,5,54.57,Not Ready
C,21CS0094,ECE,97,68,9,4,42,83,4,54.46,Not Ready
D,21CS0095,CSE,74,61,241,5,84,86,1,63.46,Not Ready
A,21CS0096,CSE,94,93,143,1,81,78,1,64.7,Not Ready
C,21IT0097,CSE,42,92,479,5,93,76,3,74.39,Ready
D,21IT0098,ECE,49,53,64,8,63,79,1,48.93,Not Ready
B,21EE0099,ECE,87,80,209,1,91,69,5,66.44,Not Ready
A,21IT0100,EEE,76,91,133,4,62,94,5,64.54,Not Ready
B,21EE0101,ME,41,91,161,6,48,99,0,55.94,Not Ready
C,21ME0102,EEE,98,68,42,5,50,71,6,58.23,Not Ready
A,21IT0103,ECE,95,40,124,8,63,45,1,54.54,Not Ready
D,21EE0104,ECE,49,49,377,1,51,63,5,52.76,Not Ready
A,21CS0105,ECE,83,53,383,1,66,98,4,65.72,Not Ready
C,21ME0106,CSE,51,66,498,0,73,48,5,62.2,Not Ready
A,21IT0107,ECE,60,51,148,7,48,44,5,49.85,Not Ready
D,21EC0108,ECE,45,84,383,5,91,87,7,72.84,Ready
D,21ME0109,CSE,76,49,178,3,48,99,6,55.97,Not Ready
A,21ME0110,ECE,83,98,468,0,84,95,0,77.02,Ready
D,21EE0111,ME,96,62,403,2,94,84,5,75.34,Ready
A,21IT0112,IT,59,65,438,0,85,50,1,60.7,Not Ready
A,21EE0113,EEE,94,40,267,2,43,78,2,54.98,Not Ready
A,21ME0114,EEE,47,94,280,4,61,60,5,61.68,Not Ready
A,21CS0115,CSE,90,64,231,8,66,91,0,67.04,Not Ready
C,21IT0116,ME,98,44,277,4,82,74,2,64.43,Not Ready
D,21IT0117,IT,75,87,72,6,90,83,7,67.46,Not Ready
A,21IT0118,IT,46,89,148,6,83,75,0,58.87,Not Ready
D,21CS0119,ECE,73,81,261,8,67,97,5,72.11,Ready
C,21ME0120,ME,64,60,443,7,59,60,7,68.74,Not Ready
D,21EC0121,ECE,43,52,287,0,96,88,4,56.18,Not Ready
D,21ME0122,EEE,65,92,313,2,55,69,6,64.82,Not Ready
B,21CS0123,IT,57,60,205,9,70,78,1,59.53,Not Ready
B,21EE0124,IT,80,69,20,2,61,55,2,48.5,Not Ready
B,21EE0125,EEE,87,50,80,7,94,69,5,61.72,Not Ready
A,21EC0126,EEE,52,51,471,4,52,86,7,64.22,Not Ready
B,21EE0127,IT,84,61,178,9,75,85,0,64.87,Not Ready
B,21CS0128,IT,87,65,327,3,81,56,4,66.73,Not Ready
B,21EC0129,ECE,89,70,346,6,73,74,0,69.99,Not Ready
D,21CS0130,ECE,93,79,12,0,65,85,5,56.26,Not Ready
A,21IT0131,ME,51,64,263,0,67,61,4,52.17,Not Ready
D,21EE0132,CSE,48,61,377,8,65,92,6,67.58,Not Ready
B,21IT0133,IT,94,49,457,7,68,43,7,72.76,Ready
C,21ME0134,IT,69,78,242,2,55,92,3,60.4,Not Ready
A,21IT0135,CSE,89,76,254,9,83,80,0,72.61,Ready
B,21EE0136,CSE,64,69,439,1,71,95,6,69.06,Not Ready
C,21ME0137,ECE,68,96,302,8,89,60,1,72.86,Ready
A,21EE0138,ECE,72,57,394,4,69,63,3,64.09,Not Ready
C,21EE0139,EEE,59,89,181,3,99,73,5,65.12,Not Ready
A,21EE0140,ME,86,81,243,3,68,56,3,63.79,Not Ready
B,21CS0141,EEE,48,78,363,8,90,82,7,73.8,Ready
D,21EE0142,ECE,96,74,169,3,53,40,3,57.59,Not Ready
C,21ME0143,EEE,65,46,466,7,88,78,7,73.22,Ready
C,21ME0144,IT,56,52,217,7,95,96,2,62.38,Not Ready
B,21EC0145,ECE,52,65,269,1,55,48,4,50.71,Not Ready
A,21EE0146,EEE,94,54,497,4,71,67,5,73.96,Ready
D,21CS0147,EEE,86,52,369,2,64,54,6,63.11,Not Ready
B,21EE0148,ECE,75,59,372,6,76,60,1,65.71,Not Ready
B,21ME0149,IT,83,46,126,4,95,60,5,58.22,Not Ready
D,21IT0150,ME,79,93,97,3,80,75,6,64.53,Not Ready
A,21EE0151,CSE,96,49,53,2,56,61,2,48.87,Not Ready
C,21CS0152,IT,75,93,114,0,90,62,1,58.49,Not Ready
C,21ME0153,ME,69,81,388,4,46,93,5,68.84,Not Ready
D,21EE0154,ME,54,71,223,4,57,49,0,51.37,Not Ready
C,21EC0155,CSE,53,92,101,7,84,80,5,63.77,Not Ready
D,21IT0156,IT,85,59,372,7,56,51,6,67.93,Not Ready
D,21ME0157,ECE,50,91,137,6,79,87,0,60.23,Not Ready
D,21EC0158,CSE,56,83,462,5,96,96,6,79.03,Ready
C,21ME0159,ECE,43,53,400,1,71,64,5,56.38,Not Ready
B,21IT0160,CSE,61,76,253,0,55,65,0,52.27,Not Ready
C,21EC0161,ME,70,62,64,8,45,55,5,52.34,Not Ready
C,21EC0162,CSE,67,52,223,3,41,80,5,53,Not Ready
D,21IT0163,EEE,79,43,75,7,78,40,0,50.1,Not Ready
C,21IT0164,EEE,50,55,98,3,92,78,1,50.14,Not Ready
D,21IT0165,ME,95,83,60,1,42,72,4,55,Not Ready
D,21ME0166,IT,72,43,264,8,55,90,6,62.56,Not Ready
C,21ME0167,EEE,49,99,427,6,66,54,4,70.48,Ready
C,21CS0168,CSE,66,74,189,9,68,72,3,63.84,Not Ready
D,21EC0169,EEE,69,78,217,6,85,90,3,67.7,Not Ready
A,21EC0170,CSE,87,75,177,3,77,65,7,64.9,Not Ready
B,21EE0171,ECE,99,46,246,2,53,94,6,61.94,Not Ready
C,21EC0172,EEE,91,51,82,1,99,65,6,57.78,Not Ready
D,21CS0173,EEE,60,42,170,1,48,56,4,43.5,Not Ready
C,21CS0174,IT,68,67,295,9,68,95,0,67.5,Not Ready
B,21IT0175,ME,86,51,326,3,65,90,6,65.94,Not Ready
C,21EC0176,IT,95,98,122,2,48,58,1,59.1,Not Ready
B,21CS0177,CSE,64,46,274,2,86,77,7,59.94,Not Ready
A,21IT0178,ME,72,96,356,6,75,66,0,71.69,Ready
C,21CS0179,ME,51,71,362,3,71,51,3,59.5,Not Ready
C,21EC0180,ME,44,54,445,3,87,92,3,64.53,Not Ready
D,21EC0181,EEE,51,64,171,5,50,48,3,49.02,Not Ready
A,21IT0182,IT,67,68,419,6,95,43,2,69.56,Not Ready
D,21EC0183,CSE,80,82,34,3,92,83,1,59.48,Not Ready
C,21IT0184,IT,53,81,13,9,88,65,0,56.02,Not Ready
D,21EC0185,ME,98,54,85,4,96,92,3,63.28,Not Ready
A,21EE0186,CSE,40,76,193,9,48,58,4,55.42,Not Ready
A,21IT0187,ECE,76,59,442,2,72,98,3,69.16,Not Ready
C,21EE0188,IT,76,89,355,8,71,43,6,73.9,Ready
A,21EC0189,ECE,51,81,326,2,47,57,3,56.06,Not Ready
C,21ME0190,CSE,61,58,353,7,99,54,1,65.8,Not Ready
D,21EC0191,ECE,94,96,315,7,55,94,5,78.38,Ready
C,21ME0192,EEE,52,95,266,7,40,91,0,62.14,Not Ready
C,21EC0193,CSE,69,90,32,7,75,43,5,58.76,Not Ready
D,21IT0194,EEE,94,86,203,0,66,49,2,60.17,Not Ready
A,21CS0195,ME,86,92,33,5,67,60,1,58.6,Not Ready
A,21IT0196,CSE,94,83,14,9,97,68,2,67.56,Not Ready
A,21ME0197,ME,64,89,88,8,86,42,3,61.1,Not Ready
B,21EC0198,IT,50,66,179,1,83,70,5,53.94,Not Ready
C,21EC0199,EEE,63,75,121,0,95,87,0,55.39,Not Ready
A,21EC0200,EEE,42,89,115,5,93,98,7,63.92,Not Ready
B,21CS0201,EEE,71,91,35,1,51,87,1,51.78,Not Ready
C,21CS0202,EEE,78,93,364,2,43,61,0,63.31,Not Ready
D,21IT0203,ECE,68,57,336,2,58,83,4,59.94,Not Ready
C,21IT0204,ECE,99,96,116,5,77,71,7,71.66,Ready
C,21ME0205,EEE,76,46,67,4,93,44,6,53.18,Not Ready
D,21CS0206,CSE,95,44,485,0,41,64,1,60.38,Not Ready
B,21EE0207,ECE,84,92,99,7,59,58,0,60.81,Not Ready
A,21IT0208,ME,84,98,366,7,90,97,1,81.87,Ready
A,21EE0209,ME,62,98,158,5,86,60,1,62.84,Not Ready
A,21IT0210,ME,44,77,258,9,65,42,6,61.22,Not Ready
D,21EE0211,EEE,48,57,34,6,47,52,0,40.61,Not Ready
D,21EE0212,ME,46,78,115,0,86,83,6,54.35,Not Ready
A,21IT0213,IT,54,70,19,0,50,70,4,42.56,Not Ready
C,21CS0214,ECE,60,95,244,7,40,79,4,64.16,Not Ready
C,21IT0215,EEE,96,75,398,8,41,73,0,71.57,Ready
A,21CS0216,CSE,42,56,432,3,58,62,5,57.9,Not Ready
A,21EC0217,CSE,59,64,162,9,69,43,7,59.1,Not Ready
D,21EC0218,ME,91,85,465,1,74,81,4,76.5,Ready
A,21EC0219,IT,85,45,285,0,81,51,0,54.65,Not Ready
B,21EC0220,CSE,44,58,496,8,74,55,5,67.96,Not Ready
C,21ME0221,ECE,46,74,467,3,53,62,6,63.58,Not Ready
A,21ME0222,EEE,96,87,253,4,65,62,3,68.55,Not Ready
A,21IT0223,ME,80,86,411,5,45,74,6,72.54,Ready
D,21EE0224,EEE,60,85,107,3,76,67,7,58.76,Not Ready
B,21ME0225,ECE,96,63,324,8,98,66,6,77.81,Ready
D,21ME0226,CSE,73,67,166,3,85,84,0,58.79,Not Ready
A,21EE0227,CSE,65,40,235,7,62,59,4,55.1,Not Ready
C,21ME0228,ME,40,92,287,9,86,50,1,65.4,Not Ready
B,21EE0229,EEE,49,48,385,9,76,72,5,65.53,Not Ready
B,21ME0230,CSE,66,77,139,5,67,94,5,61.74,Not Ready
B,21EC0231,IT,61,54,392,9,81,87,7,72.9,Ready
D,21EE0232,EEE,53,68,421,1,67,80,4,62.59,Not Ready
A,21EC0233,ECE,56,58,37,1,79,68,6,47.68,Not Ready
A,21IT0234,IT,65,46,399,6,65,73,4,63.71,Not Ready
A,21EE0235,CSE,50,48,494,0,73,74,2,58.96,Not Ready
B,21EE0236,EEE,99,76,267,5,93,81,7,77.1,Ready
B,21CS0237,ECE,99,78,138,0,62,75,5,60.85,Not Ready
C,21ME0238,ECE,45,42,227,2,70,84,2,48.63,Not Ready
B,21EE0239,CSE,50,75,190,5,84,42,0,54.4,Not Ready
A,21CS0240,ECE,68,54,373,9,92,56,2,68.97,Not Ready
A,21CS0241,ECE,58,95,287,7,54,51,0,62.28,Not Ready
B,21CS0242,IT,83,41,258,7,81,40,0,58.27,Not Ready
C,21EC0243,CSE,61,59,44,6,41,70,2,46.16,Not Ready
B,21CS0244,IT,98,95,55,8,44,94,3,66.68,Not Ready
B,21EE0245,EEE,87,90,198,0,86,57,3,63.8,Not Ready
D,21IT0246,ECE,76,89,66,8,62,51,3,59.92,Not Ready
B,21ME0247,ECE,55,98,436,1,42,61,5,64.56,Not Ready
A,21EC0248,CSE,42,79,153,3,55,45,3,47.95,Not Ready
A,21CS0249,ECE,97,72,273,8,62,98,2,73.07,Ready
A,21CS0250,ME,49,50,95,8,66,58,3,49.18,Not Ready
D,21EC0251,EEE,97,55,441,4,84,88,2,74.69,Ready
D,21EC0252,IT,59,56,205,8,42,81,4,56.1,Not Ready
B,21EE0253,IT,80,69,397,9,80,81,1,75.4,Ready
C,21EE0254,ME,97,69,324,5,58,50,6,68.61,Not Ready
B,21IT0255,EEE,79,83,61,5,68,54,5,58.57,Not Ready
D,21EE0256,ME,90,60,216,4,83,94,6,68.24,Not Ready
B,21EE0257,CSE,86,97,499,7,85,69,2,84.46,Ready
D,21EC0258,IT,69,69,253,0,59,68,6,57.12,Not Ready
A,21EC0259,IT,47,63,388,1,94,73,1,60.54,Not Ready
A,21ME0260,IT,51,94,318,6,91,55,6,70.62,Ready
D,21EC0261,ECE,63,85,118,9,83,89,4,67.17,Not Ready
B,21EC0262,IT,94,78,110,5,93,51,3,64.72,Not Ready
C,21EE0263,ME,48,91,429,6,70,48,7,70.64,Ready
A,21EE0264,CSE,63,78,111,4,71,58,7,57.46,Not Ready
C,21EC0265,ME,44,70,233,4,77,85,7,60.54,Not Ready
D,21EC0266,EEE,40,84,410,4,89,88,1,67.98,Not Ready
D,21ME0267,CSE,66,62,110,6,48,96,1,53.42,Not Ready
C,21CS0268,ECE,93,46,274,8,92,53,1,66.48,Not Ready
D,21EC0269,CSE,60,91,499,0,49,86,2,67.36,Not Ready
B,21IT0270,ECE,40,54,34,4,82,62,6,46.41,Not Ready
B,21ME0271,ME,57,61,89,8,74,73,0,53.56,Not Ready
B,21CS0272,IT,71,45,490,3,83,78,3,67.92,Not Ready
D,21EE0273,CSE,92,70,389,4,86,94,0,74.26,Ready
C,21EC0274,ECE,45,64,433,7,69,94,1,66.5,Not Ready
A,21IT0275,EEE,47,90,269,0,96,66,5,62.28,Not Ready
A,21EE0276,EEE,77,47,471,7,59,89,6,72.14,Ready
B,21EC0277,IT,95,40,192,0,41,72,5,51.16,Not Ready
A,21CS0278,ME,77,97,174,4,91,60,5,68.54,Not Ready
D,21EC0279,ECE,60,88,331,8,49,46,3,64.67,Not Ready
C,21EC0280,CSE,84,99,258,3,64,85,6,71.77,Ready
D,21IT0281,IT,81,84,431,9,70,76,1,77.96,Ready
D,21ME0282,EEE,60,61,86,8,41,95,4,53.79,Not Ready
C,21EE0283,ECE,70,86,66,2,88,60,0,55.04,Not Ready
A,21EE0284,EEE,55,98,418,1,86,50,4,68.72,Not Ready
C,21EC0285,ME,78,57,230,4,81,94,6,65.5,Not Ready
D,21IT0286,IT,68,59,331,2,76,50,3,58.92,Not Ready
C,21ME0287,ME,89,55,126,3,62,73,4,55.94,Not Ready
C,21EC0288,ECE,61,45,236,0,52,66,3,46.92,Not Ready
B,21EE0289,CSE,86,80,183,0,91,97,6,67.62,Not Ready
B,21EC0290,ME,65,70,345,6,87,47,4,67.05,Not Ready
D,21CS0291,ECE,55,89,345,9,78,92,6,76.25,Ready
D,21ME0292,EEE,88,78,260,7,43,89,4,68.45,Not Ready
A,21EC0293,ECE,75,85,92,3,80,49,3,57.46,Not Ready
D,21IT0294,ECE,52,74,417,4,83,91,5,70.55,Ready
A,21EE0295,CSE,96,45,215,2,96,53,3,60.38,Not Ready
A,21CS0296,EEE,63,64,469,1,85,74,4,67.81,Not Ready
C,21IT0297,ME,80,61,205,6,90,92,0,65.1,Not Ready
C,21EE0298,ME,77,42,50,6,97,43,3,52.52,Not Ready
D,21CS0299,IT,88,80,49,7,46,46,1,54.68,Not Ready
B,21EE0300,EEE,51,52,279,7,40,67,0,51.46,Not Ready
B,21ME0301,EEE,57,77,230,7,99,85,2,67.6,Not Ready
A,21EC0302,CSE,64,91,404,1,70,90,1,68.28,Not Ready
D,21EE0303,ME,52,72,301,1,67,98,2,58.94,Not Ready
A,21CS0304,ME,95,50,247,3,89,64,4,64.13,Not Ready
C,21ME0305,ECE,82,55,305,4,49,64,7,61.72,Not Ready
D,21EC0306,ME,67,64,393,9,75,43,0,66.47,Not Ready
D,21ME0307,EEE,72,99,305,9,69,57,7,75.82,Ready
B,21IT0308,EEE,46,80,165,7,70,52,1,55.13,Not Ready
D,21IT0309,IT,98,83,124,5,75,56,2,64.26,Not Ready
B,21EC0310,ME,94,63,251,2,93,94,7,71.17,Ready
D,21IT0311,IT,85,99,338,1,88,83,4,75.32,Ready
C,21EC0312,EEE,84,65,159,1,87,50,2,56.46,Not Ready
A,21IT0313,ECE,80,46,38,4,70,96,4,53.32,Not Ready
B,21IT0314,CSE,81,71,245,6,61,48,0,60.15,Not Ready
B,21IT0315,ECE,62,83,386,1,60,48,6,62.99,Not Ready
D,21EC0316,ME,52,96,347,8,58,66,1,67.4,Not Ready
D,21EE0317,ME,61,71,291,7,69,59,3,63.17,Not Ready
D,21EE0318,IT,40,48,415,0,46,50,1,46.72,Not Ready
B,21IT0319,CSE,82,47,488,5,61,71,2,67.82,Not Ready
B,21EE0320,IT,68,80,183,6,42,86,6,61.57,Not Ready
B,21ME0321,EEE,83,76,386,3,62,73,5,69.96,Not Ready
D,21IT0322,CSE,75,91,250,6,87,52,0,67.45,Not Ready
D,21ME0323,IT,88,57,114,4,87,98,7,64.78,Not Ready
C,21EE0324,EEE,41,49,231,1,94,69,5,52.36,Not Ready
C,21EC0325,ECE,57,63,418,5,65,95,7,69.34,Not Ready
C,21CS0326,CSE,95,86,79,9,88,89,2,71.71,Ready
A,21EC0327,ME,65,96,397,2,69,59,1,66.96,Not Ready
D,21EC0328,EEE,55,85,375,0,67,87,1,62.38,Not Ready
D,21EE0329,CSE,53,65,404,1,73,88,1,61.14,Not Ready
B,21EC0330,ECE,95,88,208,2,51,95,7,68.44,Not Ready
C,21EE0331,EEE,61,67,125,6,71,94,5,59.78,Not Ready
D,21CS0332,CSE,42,67,169,4,53,91,2,50.86,Not Ready
B,21EE0333,ECE,78,53,116,3,66,42,1,48.57,Not Ready
D,21ME0334,EEE,54,81,396,3,94,95,6,73.19,Ready
D,21EE0335,EEE,60,81,454,9,44,79,2,71.11,Ready
B,21ME0336,EEE,89,48,160,9,64,76,4,62.5,Not Ready
B,21EC0337,EEE,63,69,10,2,92,63,3,50.78,Not Ready
B,21EC0338,IT,74,95,441,5,99,93,0,80.59,Ready
A,21ME0339,IT,78,81,299,4,40,50,4,61.26,Not Ready
C,21EC0340,IT,94,86,161,1,87,81,3,66.46,Not Ready
C,21IT0341,ME,48,99,311,6,69,93,0,67.49,Not Ready
A,21CS0342,IT,62,74,70,4,81,87,3,56.72,Not Ready
B,21EE0343,EEE,47,70,420,7,72,80,4,68.5,Not Ready
B,21CS0344,EEE,92,70,276,0,44,79,1,58.57,Not Ready
A,21EC0345,IT,83,60,71,9,89,64,1,60.82,Not Ready
D,21CS0346,ECE,41,66,146,0,40,41,1,37.97,Not Ready
A,21IT0347,CSE,48,83,102,9,94,94,3,64.66,Not Ready
A,21IT0348,ECE,68,81,83,9,80,67,4,63.32,Not Ready
D,21EE0349,IT,67,52,187,3,66,86,1,53.4,Not Ready
C,21EC0350,IT,74,55,260,6,63,75,2,60.4,Not Ready
B,21EC0351,CSE,69,95,348,8,41,58,2,67.92,Not Ready
C,21IT0352,IT,98,72,296,5,86,79,3,73.52,Ready
B,21ME0353,CSE,70,64,31,6,68,53,0,49.54,Not Ready
C,21CS0354,ECE,49,75,81,3,49,45,5,46.02,Not Ready
A,21IT0355,CSE,56,43,383,6,95,57,3,62.95,Not Ready
C,21CS0356,ME,94,82,64,0,99,60,1,59.24,Not Ready
A,21EE0357,IT,95,44,84,8,46,64,5,55.58,Not Ready
B,21IT0358,ME,80,87,491,9,73,49,0,77.89,Ready
B,21EE0359,ECE,69,79,264,9,74,76,1,68.48,Not Ready
B,21ME0360,ME,88,61,346,3,82,51,6,67.79,Not Ready
A,21ME0361,ME,65,89,56,7,74,99,0,61.04,Not Ready
D,21EC0362,EEE,73,83,63,5,56,58,2,54.17,Not Ready
A,21EE0363,ME,41,76,2,0,48,61,0,36.78,Not Ready
D,21IT0364,IT,73,71,420,0,51,97,2,64.2,Not Ready
A,21CS0365,CSE,58,44,277,3,40,83,4,51.28,Not Ready
A,21CS0366,IT,68,58,150,7,69,84,4,59.45,Not Ready
A,21EE0367,ECE,88,70,66,7,91,42,5,62.22,Not Ready
A,21IT0368,EEE,83,64,3,3,87,87,1,54.9,Not Ready
B,21EC0369,EEE,80,53,461,6,86,92,2,74.39,Ready
D,21ME0370,IT,93,69,475,3,75,63,7,76.32,Ready
D,21ME0371,EEE,58,98,342,1,88,58,0,64.88,Not Ready
A,21EC0372,ME,46,70,255,9,58,99,7,65.38,Not Ready
D,21IT0373,IT,75,76,247,5,73,87,3,66.6,Not Ready
C,21CS0374,IT,81,65,453,6,64,51,2,69.27,Not Ready
C,21CS0375,IT,49,90,430,3,61,56,7,67.12,Not Ready
B,21CS0376,ECE,64,71,267,3,80,45,5,60.3,Not Ready
B,21IT0377,IT,42,41,363,1,93,49,3,52.85,Not Ready
B,21IT0378,CSE,67,61,114,7,93,76,2,59.96,Not Ready
C,21EE0379,ME,88,46,378,6,54,87,4,67.22,Not Ready
B,21EE0380,ME,42,73,213,3,57,65,4,52.07,Not Ready
B,21EC0381,CSE,55,77,29,2,42,79,6,47.51,Not Ready
A,21EC0382,EEE,42,58,106,9,81,60,7,55.76,Not Ready
B,21CS0383,ECE,51,65,334,5,81,76,1,61.94,Not Ready
C,21IT0384,IT,67,50,268,3,93,75,5,61.69,Not Ready
B,21EE0385,ECE,75,47,105,9,75,57,0,54.55,Not Ready
B,21CS0386,IT,87,53,167,1,41,64,0,48.23,Not Ready
A,21EE0387,IT,86,77,464,5,46,70,1,70.68,Ready
A,21IT0388,ME,55,57,44,6,82,43,0,46.76,Not Ready
B,21IT0389,ME,76,40,175,4,75,84,5,56.98,Not Ready
B,21EC0390,EEE,63,57,61,9,71,64,2,53.74,Not Ready
C,21IT0391,IT,53,71,395,0,91,59,2,61.4,Not Ready
